objectid,timestamp_,sensordata,sensorda_1,timestamp1,sensor__id,sensor__se,sensor___1,sensor___2,sensor__pi,location__,location_1,location_2,location_3,location_4,object_id,sampling_r
5,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,0.00,13281,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,225.2,6709,91399.5169,76348.8897,,null                                                                                                                                                                                                                                                          
19,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,0.00,13281,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,225.2,6709,91399.5169,76348.8897,,null                                                                                                                                                                                                                                                          
14,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,11.63,12760,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,225.5,6444,89842.4215,76203.6745,,null                                                                                                                                                                                                                                                          
27,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,18.30,12760,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,225.5,6444,89842.4215,76203.6745,,null                                                                                                                                                                                                                                                          
22,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,4.13,12910,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,241.1,6523,91621.7867,76637.2736,,null                                                                                                                                                                                                                                                          
23,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,4.50,7971,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,240.6,4031,91621.7867,76637.2736,,null                                                                                                                                                                                                                                                          
15,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,4.70,13112,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,240.9,6622,90955.5049,75195.5125,,null                                                                                                                                                                                                                                                          
3,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,4.73,10817,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,272.2,5461,74270.5854,76337.3411,,null                                                                                                                                                                                                                                                          
9,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,4.77,7971,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,240.6,4031,91621.7867,76637.2736,,null                                                                                                                                                                                                                                                          
26,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,4.77,12699,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,328.9,6414,70715.6183,72284.0947,,null                                                                                                                                                                                                                                                          
11,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.00,12699,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,328.9,6414,70715.6183,72284.0947,,null                                                                                                                                                                                                                                                          
8,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.10,12910,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,241.1,6523,91621.7867,76637.2736,,null                                                                                                                                                                                                                                                          
17,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.23,10817,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,272.2,5461,74270.5854,76337.3411,,null                                                                                                                                                                                                                                                          
25,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.30,12725,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,244.1,6427,91177.5947,75628.0961,,null                                                                                                                                                                                                                                                          
1,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.55,13112,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,240.9,6622,90955.5049,75195.5125,,null                                                                                                                                                                                                                                                          
10,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.57,12886,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,229.9,6511,90288.5372,74762.4626,,null                                                                                                                                                                                                                                                          
4,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.65,13847,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,231.8,6994,90955.9062,74763.1086,,null                                                                                                                                                                                                                                                          
28,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.70,16703,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,201.1,8468,102745.0056,76212.7332,,null                                                                                                                                                                                                                                                          
24,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,5.73,12886,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,229.9,6511,90288.5372,74762.4626,,null                                                                                                                                                                                                                                                          
29,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,6.35,13112,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,240.9,6622,90955.5049,75195.5125,,null                                                                                                                                                                                                                                                          
13,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,6.50,16703,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,201.1,8468,102745.0056,76212.7332,,null                                                                                                                                                                                                                                                          
16,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,6.80,9400,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,287.7,4740,73157.4413,78071.8905,,null                                                                                                                                                                                                                                                          
18,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,6.87,13847,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,231.8,6994,90955.9062,74763.1086,,null                                                                                                                                                                                                                                                          
12,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,6.97,12725,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,244.1,6427,91177.5947,75628.0961,,null                                                                                                                                                                                                                                                          
2,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,7.13,9400,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,287.7,4740,73157.4413,78071.8905,,null                                                                                                                                                                                                                                                          
7,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,8.80,12008,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,175.8,6063,72508.0815,94125.1298,,null                                                                                                                                                                                                                                                          
21,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,8.93,12008,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,175.8,6063,72508.0815,94125.1298,,null                                                                                                                                                                                                                                                          
6,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,9.30,12114,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,165.9,6121,97434.9543,98091.3004,,null                                                                                                                                                                                                                                                          
20,                                                                                                                                                                                                                                                              ,P2                                                                                                                                                                                                                                                            ,,9.67,12114,14,SDS011                                                                                                                                                                                                                                                        ,Nova Fitness                                                                                                                                                                                                                                                  ,1,LU                                                                                                                                                                                                                                                            ,165.9,6121,97434.9543,98091.3004,,null                                                                                                                                                                                                                                                          
